"","x"
"1",12.2998219910331
"2",12.6546725378064
"3",11.3105757396034
"4",12.5369508314572
"5",10.5185586041171
"6",10.4837620561102
"7",12.4299104479258
"8",11.3897491611065
"9",12.4061808956254
"10",10.0417808886477
"11",9.58508111851495
"12",11.4677668711051
"13",10.9213531247467
"14",13.2902117675699
"15",12.4565676210483
"16",11.8980204241869
"17",11.1734008278778
"18",14.2072802086652
"19",12.4757196857571
"20",14.2437928593694
"21",13.3412405816861
"22",12.9308198674641
"23",11.3340191613945
"24",14.6727895766115
"25",12.8563678961524
"26",11.1378557788755
"27",11.5065152042971
"28",14.5148462515582
"29",13.3082113629984
"30",10.625551604451
"31",9.53423052781312
"32",13.5096777376139
"33",11.2229532516692
"34",11.4113146503297
"35",9.75261983394158
"36",14.0924836402545
"37",11.8592063122157
"38",10.0281062467586
"39",13.5151904218259
"40",12.0098812692596
"41",10.8562817240096
"42",10.5313102778464
"43",12.135574874118
"44",13.548234926642
"45",11.7632882571867
"46",11.145477745576
"47",13.3885847484543
"48",13.2819139876494
"49",13.499216713855
"50",12.3699510733906
"51",10.9474800141316
"52",12.5329746996651
"53",11.4573508062226
"54",8.9082720060848
"55",12.4225297813708
"56",13.0906510000069
"57",12.5059731671503
"58",12.263368676444
"59",12.0851608624691
"60",12.6240144419034
"61",11.1165732055504
"62",10.3073664022273
"63",12.1631730849391
"64",11.0368761874836
"65",12.6886498875345
"66",10.2572353371435
"67",13.9330394926659
"68",13.6978837046478
"69",10.7885144564832
"70",13.7028937869259
"71",10.2586050743434
"72",11.5871430402753
"73",11.89379176303
"74",13.1153137612796
"75",12.7352968785068
"76",10.1949912941776
"77",11.1430893016505
"78",11.7650489617961
"79",12.6772044139589
"80",13.5087899874791
"81",11.2384885982363
"82",12.5090793456336
"83",12.2160374228634
"84",11.7244860966904
"85",11.9121507458476
"86",11.181393086335
"87",11.8981328407484
"88",13.8989208252561
"89",9.1115702031209
"90",11.625662519935
"91",10.701546663535
"92",12.9859726390079
"93",12.6665117646443
"94",9.21356709967336
"95",11.9126365320286
"96",15.1158809846701
"97",12.1362120895984
"98",13.5454687465396
"99",12.3342781262394
"100",13.6557220439653
